"Age";"SibSp";"Parch";"Fare";"id";"cluster"
9.0;2.0;2.0;34.375;119.0;"cluster_3"
36.0;0.0;2.0;26.0;120.0;"cluster_1"
42.0;0.0;0.0;13.0;121.0;"cluster_1"
51.0;0.0;0.0;12.525;122.0;"cluster_1"
22.0;1.0;0.0;66.6;123.0;"cluster_0"
55.0;0.0;0.0;8.05;124.0;"cluster_1"
40.0;0.0;2.0;14.5;125.0;"cluster_1"
51.0;0.0;1.0;61.3792;126.0;"cluster_1"
16.0;0.0;0.0;7.7333;127.0;"cluster_3"
30.0;0.0;0.0;8.05;128.0;"cluster_3"
44.0;0.0;1.0;16.1;129.0;"cluster_1"
40.0;0.0;0.0;15.75;130.0;"cluster_1"
26.0;0.0;0.0;7.775;131.0;"cluster_3"
17.0;0.0;0.0;8.6625;132.0;"cluster_3"
1.0;4.0;1.0;39.6875;133.0;"cluster_3"
9.0;0.0;2.0;20.525;134.0;"cluster_3"
45.0;1.0;4.0;27.9;135.0;"cluster_1"
28.0;0.0;0.0;56.4958;136.0;"cluster_1"
61.0;0.0;0.0;33.5;137.0;"cluster_1"
4.0;4.0;1.0;29.125;138.0;"cluster_3"
1.0;1.0;1.0;11.1333;139.0;"cluster_3"
21.0;0.0;0.0;7.925;140.0;"cluster_3"
56.0;0.0;0.0;30.6958;141.0;"cluster_1"
18.0;1.0;1.0;7.8542;142.0;"cluster_3"
50.0;0.0;0.0;28.7125;143.0;"cluster_1"
30.0;0.0;0.0;13.0;144.0;"cluster_3"
36.0;0.0;0.0;0.0;145.0;"cluster_3"
9.0;4.0;2.0;31.3875;146.0;"cluster_3"
1.0;2.0;1.0;39.0;147.0;"cluster_3"
4.0;0.0;2.0;22.025;148.0;"cluster_3"
45.0;0.0;0.0;26.55;149.0;"cluster_1"
40.0;1.0;1.0;15.5;150.0;"cluster_1"
36.0;0.0;0.0;7.8958;151.0;"cluster_3"
32.0;0.0;0.0;13.0;152.0;"cluster_3"
19.0;0.0;0.0;13.0;153.0;"cluster_3"
19.0;1.0;0.0;7.8542;154.0;"cluster_3"
3.0;1.0;1.0;26.0;155.0;"cluster_3"
44.0;0.0;0.0;27.7208;156.0;"cluster_1"
58.0;0.0;0.0;146.5208;157.0;"cluster_0"
42.0;0.0;1.0;8.4042;158.0;"cluster_1"
24.0;0.0;0.0;13.0;159.0;"cluster_3"
28.0;0.0;0.0;9.5;160.0;"cluster_3"
34.0;0.0;0.0;6.4958;161.0;"cluster_3"
45.0;0.0;0.0;7.225;162.0;"cluster_1"
18.0;0.0;0.0;8.05;163.0;"cluster_3"
2.0;0.0;1.0;10.4625;164.0;"cluster_3"
32.0;1.0;0.0;15.85;165.0;"cluster_3"
26.0;0.0;0.0;18.7875;166.0;"cluster_3"
16.0;0.0;0.0;7.75;167.0;"cluster_3"
40.0;0.0;0.0;31.0;168.0;"cluster_1"
24.0;0.0;0.0;7.05;169.0;"cluster_3"
35.0;0.0;0.0;21.0;170.0;"cluster_1"
22.0;0.0;0.0;7.25;171.0;"cluster_3"
30.0;0.0;0.0;13.0;172.0;"cluster_3"
31.0;1.0;0.0;113.275;173.0;"cluster_0"
27.0;0.0;0.0;7.925;174.0;"cluster_3"
42.0;1.0;0.0;27.0;175.0;"cluster_1"
32.0;0.0;0.0;76.2917;176.0;"cluster_0"
30.0;0.0;0.0;10.5;177.0;"cluster_3"
16.0;0.0;0.0;8.05;178.0;"cluster_3"
27.0;0.0;0.0;13.0;179.0;"cluster_3"
51.0;0.0;0.0;8.05;180.0;"cluster_1"
38.0;1.0;0.0;90.0;181.0;"cluster_0"
22.0;0.0;0.0;9.35;182.0;"cluster_3"
19.0;0.0;0.0;10.5;183.0;"cluster_3"
20.0;0.0;0.0;7.25;184.0;"cluster_3"
18.0;0.0;0.0;13.0;185.0;"cluster_3"
35.0;1.0;0.0;83.475;186.0;"cluster_0"
29.0;0.0;0.0;7.775;187.0;"cluster_3"
59.0;0.0;0.0;13.5;188.0;"cluster_1"
5.0;4.0;2.0;31.3875;189.0;"cluster_3"
24.0;0.0;0.0;10.5;190.0;"cluster_3"
44.0;1.0;0.0;26.0;191.0;"cluster_1"
8.0;0.0;2.0;26.25;192.0;"cluster_3"
19.0;0.0;0.0;10.5;193.0;"cluster_3"
33.0;0.0;0.0;12.275;194.0;"cluster_3"
29.0;0.0;0.0;10.5;195.0;"cluster_3"
22.0;0.0;0.0;7.125;196.0;"cluster_3"
30.0;0.0;0.0;7.225;197.0;"cluster_3"
44.0;2.0;0.0;90.0;198.0;"cluster_0"
25.0;0.0;0.0;7.775;199.0;"cluster_3"
24.0;0.0;2.0;14.5;200.0;"cluster_3"
37.0;1.0;1.0;52.5542;201.0;"cluster_1"
54.0;1.0;0.0;26.0;202.0;"cluster_1"
29.0;1.0;1.0;10.4625;203.0;"cluster_3"
62.0;0.0;0.0;26.55;204.0;"cluster_1"
30.0;1.0;0.0;16.1;205.0;"cluster_3"
41.0;0.0;2.0;20.2125;206.0;"cluster_1"
29.0;0.0;2.0;15.2458;207.0;"cluster_3"
30.0;0.0;0.0;86.5;208.0;"cluster_0"
35.0;0.0;0.0;512.3292;209.0;"cluster_2"
50.0;0.0;1.0;26.0;210.0;"cluster_1"
3.0;4.0;2.0;31.3875;211.0;"cluster_3"
52.0;1.0;1.0;79.65;212.0;"cluster_0"
40.0;0.0;0.0;0.0;213.0;"cluster_3"
36.0;0.0;0.0;10.5;214.0;"cluster_3"
16.0;4.0;1.0;39.6875;215.0;"cluster_3"
25.0;1.0;0.0;7.775;216.0;"cluster_3"
58.0;0.0;1.0;153.4625;217.0;"cluster_0"
35.0;0.0;0.0;135.6333;218.0;"cluster_0"
25.0;0.0;0.0;0.0;219.0;"cluster_3"
41.0;0.0;1.0;19.5;220.0;"cluster_1"
37.0;0.0;1.0;29.7;221.0;"cluster_1"
63.0;1.0;0.0;77.9583;222.0;"cluster_0"
45.0;0.0;0.0;7.75;223.0;"cluster_1"
7.0;4.0;1.0;29.125;224.0;"cluster_3"
35.0;1.0;1.0;20.25;225.0;"cluster_1"
65.0;0.0;0.0;7.75;226.0;"cluster_1"
28.0;0.0;0.0;7.8542;227.0;"cluster_3"
16.0;0.0;0.0;9.5;228.0;"cluster_3"
19.0;0.0;0.0;8.05;229.0;"cluster_3"
33.0;0.0;0.0;8.6625;230.0;"cluster_3"
30.0;0.0;0.0;9.5;231.0;"cluster_3"
22.0;0.0;0.0;7.8958;232.0;"cluster_3"
42.0;0.0;0.0;13.0;233.0;"cluster_1"
22.0;0.0;0.0;7.75;234.0;"cluster_3"
26.0;0.0;0.0;78.85;235.0;"cluster_0"
19.0;1.0;0.0;91.0792;236.0;"cluster_0"
36.0;0.0;0.0;12.875;237.0;"cluster_3"
24.0;0.0;0.0;8.85;238.0;"cluster_3"
24.0;0.0;0.0;7.8958;239.0;"cluster_3"
23.0;0.0;0.0;7.2292;240.0;"cluster_3"
2.0;1.0;2.0;151.55;241.0;"cluster_0"
50.0;0.0;1.0;247.5208;242.0;"cluster_2"
19.0;0.0;0.0;0.0;243.0;"cluster_3"
0.0;1.0;2.0;151.55;244.0;"cluster_0"
17.0;1.0;0.0;108.9;245.0;"cluster_0"
30.0;1.0;0.0;24.0;246.0;"cluster_3"
30.0;0.0;0.0;56.9292;247.0;"cluster_1"
24.0;0.0;0.0;83.1583;248.0;"cluster_0"
18.0;2.0;2.0;262.375;249.0;"cluster_2"
26.0;1.0;1.0;26.0;250.0;"cluster_3"
28.0;0.0;0.0;7.8958;251.0;"cluster_3"
43.0;1.0;1.0;26.25;252.0;"cluster_1"
26.0;0.0;0.0;7.8542;253.0;"cluster_3"
24.0;1.0;0.0;26.0;254.0;"cluster_3"
54.0;0.0;0.0;14.0;255.0;"cluster_1"
31.0;0.0;2.0;164.8667;256.0;"cluster_0"
40.0;1.0;1.0;134.5;257.0;"cluster_0"
22.0;0.0;0.0;7.25;258.0;"cluster_3"
27.0;0.0;0.0;7.8958;259.0;"cluster_3"
30.0;0.0;0.0;12.35;260.0;"cluster_3"
22.0;1.0;1.0;29.0;261.0;"cluster_3"
36.0;0.0;0.0;135.6333;262.0;"cluster_0"
61.0;0.0;0.0;6.2375;263.0;"cluster_1"
36.0;0.0;0.0;13.0;264.0;"cluster_3"
31.0;1.0;1.0;20.525;265.0;"cluster_3"
16.0;0.0;1.0;57.9792;266.0;"cluster_1"
45.0;0.0;0.0;28.5;267.0;"cluster_1"
38.0;0.0;1.0;153.4625;268.0;"cluster_0"
16.0;2.0;0.0;18.0;269.0;"cluster_3"
29.0;1.0;0.0;66.6;270.0;"cluster_0"
41.0;0.0;0.0;134.5;271.0;"cluster_0"
45.0;0.0;0.0;8.05;272.0;"cluster_1"
45.0;0.0;0.0;35.5;273.0;"cluster_1"
2.0;1.0;1.0;26.0;274.0;"cluster_3"
24.0;3.0;2.0;263.0;275.0;"cluster_2"
28.0;0.0;0.0;13.0;276.0;"cluster_3"
25.0;0.0;0.0;13.0;277.0;"cluster_3"
36.0;0.0;0.0;13.0;278.0;"cluster_3"
24.0;0.0;0.0;13.0;279.0;"cluster_3"
40.0;0.0;0.0;13.0;280.0;"cluster_1"
3.0;1.0;1.0;15.9;281.0;"cluster_3"
42.0;0.0;0.0;8.6625;282.0;"cluster_1"
23.0;0.0;0.0;9.225;283.0;"cluster_3"
15.0;1.0;1.0;7.2292;284.0;"cluster_3"
25.0;1.0;0.0;17.8;285.0;"cluster_3"
28.0;0.0;0.0;9.5;286.0;"cluster_3"
22.0;0.0;1.0;55.0;287.0;"cluster_1"
38.0;0.0;0.0;13.0;288.0;"cluster_3"
40.0;1.0;4.0;27.9;289.0;"cluster_1"
29.0;1.0;0.0;27.7208;290.0;"cluster_1"
45.0;0.0;1.0;14.4542;291.0;"cluster_1"
35.0;0.0;0.0;7.05;292.0;"cluster_3"
30.0;0.0;0.0;7.25;293.0;"cluster_3"
60.0;1.0;0.0;75.25;294.0;"cluster_0"
24.0;0.0;0.0;69.3;295.0;"cluster_0"
25.0;1.0;0.0;55.4417;296.0;"cluster_1"
18.0;1.0;0.0;6.4958;297.0;"cluster_3"
19.0;0.0;0.0;8.05;298.0;"cluster_3"
22.0;0.0;0.0;135.6333;299.0;"cluster_0"
3.0;3.0;1.0;21.075;300.0;"cluster_3"
22.0;0.0;0.0;7.25;301.0;"cluster_3"
27.0;0.0;2.0;211.5;302.0;"cluster_2"
20.0;0.0;0.0;4.0125;303.0;"cluster_3"
19.0;0.0;0.0;7.775;304.0;"cluster_3"
42.0;0.0;0.0;227.525;305.0;"cluster_2"
1.0;0.0;2.0;15.7417;306.0;"cluster_3"
32.0;0.0;0.0;7.925;307.0;"cluster_3"
35.0;1.0;0.0;52.0;308.0;"cluster_1"
18.0;0.0;0.0;73.5;309.0;"cluster_0"
1.0;5.0;2.0;46.9;310.0;"cluster_3"
36.0;0.0;0.0;13.0;311.0;"cluster_3"
17.0;0.0;0.0;12.0;312.0;"cluster_3"
36.0;1.0;2.0;120.0;313.0;"cluster_0"
21.0;0.0;0.0;7.7958;314.0;"cluster_3"
28.0;2.0;0.0;7.925;315.0;"cluster_3"
23.0;1.0;0.0;113.275;316.0;"cluster_0"
24.0;0.0;2.0;16.7;317.0;"cluster_3"
22.0;0.0;0.0;7.7958;318.0;"cluster_3"
31.0;0.0;0.0;7.8542;319.0;"cluster_3"
46.0;0.0;0.0;26.0;320.0;"cluster_1"
23.0;0.0;0.0;10.5;321.0;"cluster_3"
28.0;0.0;0.0;12.65;322.0;"cluster_3"
39.0;0.0;0.0;7.925;323.0;"cluster_3"
26.0;0.0;0.0;8.05;324.0;"cluster_3"
21.0;1.0;0.0;9.825;325.0;"cluster_3"
28.0;1.0;0.0;15.85;326.0;"cluster_3"
20.0;0.0;0.0;8.6625;327.0;"cluster_3"
34.0;1.0;0.0;21.0;328.0;"cluster_1"
51.0;0.0;0.0;7.75;329.0;"cluster_1"
3.0;1.0;1.0;18.75;330.0;"cluster_3"
21.0;0.0;0.0;7.775;331.0;"cluster_3"
33.0;1.0;0.0;90.0;332.0;"cluster_0"
44.0;0.0;0.0;7.925;333.0;"cluster_1"
34.0;1.0;1.0;32.5;334.0;"cluster_1"
18.0;0.0;2.0;13.0;335.0;"cluster_3"
30.0;0.0;0.0;13.0;336.0;"cluster_3"
10.0;0.0;2.0;24.15;337.0;"cluster_3"
21.0;0.0;0.0;7.7333;338.0;"cluster_3"
29.0;0.0;0.0;7.875;339.0;"cluster_3"
28.0;1.0;1.0;14.4;340.0;"cluster_3"
18.0;1.0;1.0;20.2125;341.0;"cluster_3"
28.0;1.0;0.0;26.0;342.0;"cluster_3"
19.0;0.0;0.0;26.0;343.0;"cluster_3"
32.0;0.0;0.0;8.05;344.0;"cluster_3"
28.0;0.0;0.0;26.55;345.0;"cluster_3"
42.0;1.0;0.0;26.0;346.0;"cluster_1"
17.0;0.0;0.0;7.125;347.0;"cluster_3"
50.0;1.0;0.0;55.9;348.0;"cluster_1"
14.0;1.0;2.0;120.0;349.0;"cluster_0"
21.0;2.0;2.0;34.375;350.0;"cluster_3"
24.0;2.0;3.0;18.75;351.0;"cluster_3"
64.0;1.0;4.0;263.0;352.0;"cluster_2"
31.0;0.0;0.0;10.5;353.0;"cluster_3"
45.0;1.0;1.0;26.25;354.0;"cluster_1"
20.0;0.0;0.0;9.5;355.0;"cluster_3"
25.0;1.0;0.0;7.775;356.0;"cluster_3"
28.0;0.0;0.0;13.0;357.0;"cluster_3"
4.0;0.0;2.0;81.8583;358.0;"cluster_0"
13.0;0.0;1.0;19.5;359.0;"cluster_3"
34.0;0.0;0.0;26.55;360.0;"cluster_1"
5.0;2.0;1.0;19.2583;361.0;"cluster_3"
52.0;0.0;0.0;30.5;362.0;"cluster_1"
36.0;1.0;2.0;27.75;363.0;"cluster_1"
30.0;0.0;0.0;27.75;364.0;"cluster_1"
49.0;1.0;0.0;89.1042;365.0;"cluster_0"
29.0;0.0;0.0;7.8958;366.0;"cluster_3"
65.0;0.0;0.0;26.55;367.0;"cluster_1"
50.0;0.0;0.0;10.5;368.0;"cluster_1"
48.0;0.0;0.0;26.55;369.0;"cluster_1"
34.0;0.0;0.0;8.05;370.0;"cluster_3"
47.0;0.0;0.0;38.5;371.0;"cluster_1"
48.0;0.0;0.0;13.0;372.0;"cluster_1"
38.0;0.0;0.0;7.05;373.0;"cluster_3"
56.0;0.0;0.0;26.55;374.0;"cluster_1"
0.0;2.0;1.0;19.2583;375.0;"cluster_3"
38.0;0.0;0.0;8.6625;376.0;"cluster_3"
33.0;1.0;2.0;27.75;377.0;"cluster_1"
23.0;0.0;0.0;13.7917;378.0;"cluster_3"
22.0;0.0;0.0;9.8375;379.0;"cluster_3"
34.0;1.0;0.0;21.0;380.0;"cluster_1"
29.0;1.0;0.0;7.0458;381.0;"cluster_3"
22.0;0.0;0.0;7.5208;382.0;"cluster_3"
2.0;0.0;1.0;12.2875;383.0;"cluster_3"
9.0;5.0;2.0;46.9;384.0;"cluster_3"
50.0;0.0;0.0;8.05;385.0;"cluster_1"
63.0;0.0;0.0;9.5875;386.0;"cluster_1"
25.0;1.0;0.0;91.0792;387.0;"cluster_0"
35.0;1.0;0.0;90.0;388.0;"cluster_0"
58.0;0.0;0.0;29.7;389.0;"cluster_1"
30.0;0.0;0.0;8.05;390.0;"cluster_3"
9.0;1.0;1.0;15.9;391.0;"cluster_3"
21.0;0.0;0.0;7.25;392.0;"cluster_3"
55.0;0.0;0.0;30.5;393.0;"cluster_1"
71.0;0.0;0.0;49.5042;394.0;"cluster_1"
21.0;0.0;0.0;8.05;395.0;"cluster_3"
54.0;1.0;0.0;78.2667;396.0;"cluster_0"
25.0;1.0;2.0;151.55;397.0;"cluster_0"
24.0;0.0;0.0;7.7958;398.0;"cluster_3"
17.0;0.0;0.0;8.6625;399.0;"cluster_3"
21.0;0.0;0.0;7.75;400.0;"cluster_3"
37.0;0.0;0.0;9.5875;401.0;"cluster_3"
16.0;0.0;0.0;86.5;402.0;"cluster_0"
18.0;1.0;0.0;108.9;403.0;"cluster_0"
33.0;0.0;2.0;26.0;404.0;"cluster_1"
28.0;0.0;0.0;22.525;405.0;"cluster_3"
26.0;0.0;0.0;56.4958;406.0;"cluster_1"
29.0;0.0;0.0;7.75;407.0;"cluster_3"
36.0;0.0;0.0;26.2875;408.0;"cluster_1"
54.0;1.0;0.0;59.4;409.0;"cluster_1"
24.0;0.0;0.0;7.4958;410.0;"cluster_3"
47.0;0.0;0.0;34.0208;411.0;"cluster_1"
34.0;0.0;0.0;10.5;412.0;"cluster_3"
36.0;1.0;0.0;26.0;413.0;"cluster_1"
32.0;0.0;0.0;7.8958;414.0;"cluster_3"
30.0;0.0;0.0;93.5;415.0;"cluster_0"
22.0;0.0;0.0;7.8958;416.0;"cluster_3"
44.0;0.0;1.0;57.9792;417.0;"cluster_1"
40.0;0.0;0.0;7.75;418.0;"cluster_3"
50.0;0.0;0.0;10.5;419.0;"cluster_1"
39.0;0.0;0.0;7.925;420.0;"cluster_3"
23.0;2.0;1.0;11.5;421.0;"cluster_3"
2.0;1.0;1.0;26.0;422.0;"cluster_3"
17.0;1.0;1.0;7.2292;423.0;"cluster_3"
30.0;0.0;0.0;8.6625;424.0;"cluster_3"
7.0;0.0;2.0;26.25;425.0;"cluster_3"
45.0;0.0;0.0;26.55;426.0;"cluster_1"
30.0;0.0;0.0;106.425;427.0;"cluster_0"
22.0;0.0;2.0;49.5;428.0;"cluster_1"
36.0;0.0;2.0;71.0;429.0;"cluster_0"
9.0;4.0;2.0;31.275;430.0;"cluster_3"
11.0;4.0;2.0;31.275;431.0;"cluster_3"
32.0;1.0;0.0;26.0;432.0;"cluster_1"
50.0;1.0;0.0;106.425;433.0;"cluster_0"
64.0;0.0;0.0;26.0;434.0;"cluster_1"
19.0;1.0;0.0;26.0;435.0;"cluster_3"
33.0;1.0;1.0;20.525;436.0;"cluster_3"
8.0;1.0;1.0;36.75;437.0;"cluster_3"
17.0;0.0;2.0;110.8833;438.0;"cluster_0"
27.0;0.0;0.0;26.0;439.0;"cluster_3"
22.0;0.0;0.0;7.225;440.0;"cluster_3"
22.0;0.0;0.0;7.775;441.0;"cluster_3"
62.0;0.0;0.0;26.55;442.0;"cluster_1"
48.0;1.0;0.0;39.6;443.0;"cluster_1"
39.0;1.0;1.0;79.65;444.0;"cluster_0"
36.0;1.0;0.0;17.4;445.0;"cluster_1"
40.0;0.0;0.0;7.8958;446.0;"cluster_3"
28.0;0.0;0.0;13.5;447.0;"cluster_3"
24.0;2.0;0.0;24.15;448.0;"cluster_3"
19.0;0.0;0.0;7.8958;449.0;"cluster_3"
29.0;0.0;4.0;21.075;450.0;"cluster_3"
32.0;0.0;0.0;7.8542;451.0;"cluster_3"
62.0;0.0;0.0;10.5;452.0;"cluster_1"
53.0;2.0;0.0;51.4792;453.0;"cluster_1"
36.0;0.0;0.0;26.3875;454.0;"cluster_1"
16.0;0.0;0.0;8.05;455.0;"cluster_3"
19.0;0.0;0.0;14.5;456.0;"cluster_3"
34.0;0.0;0.0;13.0;457.0;"cluster_3"
39.0;1.0;0.0;55.9;458.0;"cluster_1"
32.0;0.0;0.0;7.925;459.0;"cluster_3"
25.0;1.0;1.0;30.0;460.0;"cluster_3"
39.0;1.0;1.0;110.8833;461.0;"cluster_0"
54.0;0.0;0.0;26.0;462.0;"cluster_1"
36.0;0.0;0.0;40.125;463.0;"cluster_1"
18.0;0.0;2.0;79.65;464.0;"cluster_0"
47.0;0.0;0.0;15.0;465.0;"cluster_1"
60.0;1.0;1.0;79.2;466.0;"cluster_0"
22.0;0.0;0.0;8.05;467.0;"cluster_3"
35.0;0.0;0.0;7.125;468.0;"cluster_3"
52.0;1.0;0.0;78.2667;469.0;"cluster_0"
47.0;0.0;0.0;7.25;470.0;"cluster_1"
37.0;1.0;0.0;26.0;471.0;"cluster_1"
36.0;1.0;1.0;24.15;472.0;"cluster_1"
49.0;0.0;0.0;0.0;473.0;"cluster_1"
49.0;1.0;0.0;56.9292;474.0;"cluster_1"
24.0;2.0;1.0;27.0;475.0;"cluster_3"
44.0;0.0;0.0;8.05;476.0;"cluster_1"
35.0;0.0;0.0;26.55;477.0;"cluster_1"
36.0;1.0;0.0;15.55;478.0;"cluster_3"
30.0;0.0;0.0;7.8958;479.0;"cluster_3"
27.0;0.0;0.0;30.5;480.0;"cluster_1"
22.0;1.0;2.0;41.5792;481.0;"cluster_1"
40.0;0.0;0.0;153.4625;482.0;"cluster_0"
39.0;1.0;5.0;31.275;483.0;"cluster_1"
35.0;0.0;0.0;8.05;484.0;"cluster_3"
24.0;1.0;2.0;65.0;485.0;"cluster_0"
34.0;1.0;1.0;14.4;486.0;"cluster_3"
26.0;1.0;0.0;16.1;487.0;"cluster_3"
4.0;2.0;1.0;39.0;488.0;"cluster_3"
26.0;0.0;0.0;10.5;489.0;"cluster_3"
27.0;1.0;0.0;14.4542;490.0;"cluster_3"
42.0;1.0;0.0;52.5542;491.0;"cluster_1"
20.0;1.0;1.0;15.7417;492.0;"cluster_3"
